jieba,ltp
a,a
ad,a
ag,a
al,a
an,a
b,a
bl,a
c,c
cc,c
d,d
e,e
f,nd
h,h
k,k
l,v
m,m
mq,m
n,n
ng,n
nl,n
nr,n
nr1,n
nr2,n
nrf,n
nrj,n
ns,n
nsf,n
nt,n
nz,nz
o,o
p,p
pba,p
pbei,p
q,q
qt,q
qv,q
r,r
rg,r
rr,r
ry,r
rys,r
ryt,r
ryv,r
rz,r
rzs,r
rzt,r
rzv,r
s,nl
t,nt
tg,nt
u,u
ude1,u
ude2,u
ude3,u
udeng,u
udh,u
uguo,u
uj,u
ule,u
ulian,u
uls,u
usuo,u
uyy,u
uzhe,u
uzhi,u
v,v
vd,v
vf,v
vg,v
vi,v
vl,v
vn,v
vshi,v
vx,v
vyou,v
w,wp
wb,wp
wd,wp
wf,wp
wh,wp
wj,wp
wky,wp
wkz,wp
wm,wp
wn,wp
wp,wp
ws,wp
wt,wp
ww,wp
wyy,wp
wyz,wp
x,wp
xu,ws
xx,x
y,e
z,a
